SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3]
104436,1.0000,0.0004,0.0002,0.0000,0.0009,0.0004,0.1645
104769,1.0000,0.0007,0.0003,0.0000,0.0024,0.0005,0.3289
105103,1.0000,0.0007,0.0004,0.0000,0.0009,0.0004,0.3291
105436,1.0000,0.0007,0.0004,0.0000,0.0016,0.0020,0.3291
105769,1.0000,0.0007,0.0003,0.0000,0.0014,0.0008,0.3289
106103,1.0000,0.0007,0.0004,0.0000,0.0023,0.0004,0.3297
106436,1.0000,0.0007,0.0004,0.0000,0.0012,0.0007,0.3293
106769,1.0000,0.0007,0.0003,0.0000,0.0007,0.0013,0.3289
107103,1.0000,0.0007,0.0003,0.0000,0.0023,0.0013,0.3289
107436,1.0000,0.0007,0.0003,0.0000,0.0019,0.0000,0.3293
107769,1.0000,0.0007,0.0004,0.0000,0.0020,0.0008,0.3294
108103,1.0000,0.0007,0.0003,0.0000,0.0011,0.0014,0.3291
108436,1.0000,0.0007,0.0004,0.0000,0.0016,0.0014,0.3289
108769,1.0000,0.0007,0.0004,0.0000,0.0018,0.0002,0.3297
109103,1.0000,0.0007,0.0004,0.0000,0.0021,0.0002,0.3294
109436,1.0000,0.0007,0.0003,0.0000,0.0018,0.0013,0.3291
109770,1.0000,0.0007,0.0003,0.0000,0.0011,0.0009,0.3289
110103,1.0000,0.0007,0.0003,0.0000,0.0017,0.0011,0.3290
110436,1.0000,0.0007,0.0004,0.0000,0.0017,0.0006,0.3289
110770,1.0000,0.0007,0.0004,0.0000,0.0015,0.0010,0.3289
111103,1.0000,0.0007,0.0003,0.0000,0.0014,0.0012,0.3296
111436,1.0000,0.0007,0.0004,0.0000,0.0012,0.0007,0.3294
111770,1.0000,0.0007,0.0003,0.0000,0.0018,0.0010,0.3293
112103,1.0000,0.0007,0.0003,0.0000,0.0013,0.0005,0.3288
112436,1.0000,0.0007,0.0003,0.0000,0.0016,0.0015,0.3290
112770,1.0000,0.0008,0.0003,0.0000,0.0020,0.0009,0.3293
113103,1.0000,0.0007,0.0004,0.0000,0.0014,0.0005,0.3290
113436,1.0000,0.0007,0.0004,0.0000,0.0017,0.0010,0.3290
113770,1.0000,0.0007,0.0004,0.0000,0.0016,0.0012,0.3288
114103,1.0000,0.0007,0.0004,0.0000,0.0024,0.0011,0.3287
114436,1.0000,0.0007,0.0003,0.0000,0.0014,0.0005,0.3290
114770,1.0000,0.0007,0.0004,0.0000,0.0012,0.0006,0.3290
115103,1.0000,0.0007,0.0004,0.0000,0.0004,0.0018,0.3289
115436,1.0000,0.0007,0.0004,0.0000,0.0029,0.0034,0.3290
115770,1.0000,0.0007,0.0003,-0.0000,0.0005,-0.0017,0.3293
116103,1.0000,0.0007,0.0004,0.0001,0.0045,-0.0015,0.3291
116436,1.0000,0.0007,0.0004,0.0000,0.0022,0.0025,0.3288
116770,1.0000,0.0007,0.0004,0.0000,-0.0017,0.0023,0.3294
117103,1.0000,0.0007,0.0003,0.0000,0.0039,0.0024,0.3292
117436,1.0000,0.0007,0.0003,0.0000,0.0013,-0.0033,0.3291
117770,1.0000,0.0007,0.0004,0.0001,0.0035,0.0012,0.3290
118103,1.0000,0.0007,0.0004,-0.0000,-0.0003,0.0026,0.3288
118436,1.0000,0.0007,0.0003,0.0001,0.0005,0.0023,0.3295
118770,1.0000,0.0007,0.0003,0.0000,0.0036,-0.0000,0.3293
119103,1.0000,0.0007,0.0003,0.0000,0.0006,-0.0027,0.3291
119436,1.0000,0.0007,0.0003,0.0000,0.0031,0.0039,0.3293
119770,1.0000,0.0007,0.0004,0.0000,-0.0000,0.0018,0.3291
120103,1.0000,0.0007,0.0004,0.0001,0.0022,-0.0000,0.3294
120436,1.0000,0.0007,0.0004,0.0000,0.0023,-0.0010,0.3297
120770,1.0000,0.0007,0.0004,0.0001,0.0011,0.0009,0.3293
121103,1.0000,0.0007,0.0004,0.0000,0.0029,0.0038,0.3293
121436,1.0000,0.0007,0.0003,0.0000,-0.0002,-0.0010,0.3291
121770,1.0000,0.0007,0.0004,0.0001,0.0033,0.0002,0.3288
122103,1.0000,0.0007,0.0003,0.0000,0.0015,0.0010,0.3289
122436,1.0000,0.0007,0.0004,0.0001,0.0011,0.0026,0.3295
122770,1.0000,0.0007,0.0003,0.0000,0.0021,0.0010,0.3290
123103,1.0000,0.0007,0.0003,0.0000,0.0014,-0.0014,0.3292
123436,1.0000,0.0007,0.0003,0.0000,0.0028,0.0019,0.3296
123770,1.0000,0.0007,0.0003,0.0000,-0.0002,0.0014,0.3294
124103,1.0000,0.0007,0.0004,0.0000,0.0024,0.0016,0.3294
124436,1.0000,0.0007,0.0003,0.0000,0.0021,-0.0011,0.3293
124770,1.0000,0.0007,0.0004,0.0000,0.0013,0.0000,0.3290
125103,1.0000,0.0007,0.0004,0.0000,0.0014,0.0030,0.3290
125436,1.0000,0.0007,0.0003,0.0000,0.0007,0.0010,0.3296
125770,1.0000,0.0007,0.0004,0.0000,0.0035,0.0003,0.3294
126103,1.0000,0.0007,0.0003,0.0000,0.0016,-0.0010,0.3291
126437,1.0000,0.0007,0.0004,0.0000,0.0011,0.0023,0.3290
126770,1.0000,0.0007,0.0003,0.0000,0.0011,0.0027,0.3293
127103,1.0000,0.0007,0.0004,0.0000,0.0018,-0.0005,0.3295
127437,1.0000,0.0007,0.0004,0.0000,0.0031,-0.0002,0.3295
127770,1.0000,0.0008,0.0004,0.0000,0.0005,0.0003,0.3298
128103,1.0000,0.0007,0.0004,0.0000,0.0016,0.0033,0.3294
128437,1.0000,0.0007,0.0003,0.0000,0.0014,0.0004,0.3297
128770,1.0000,0.0007,0.0004,0.0000,0.0023,-0.0010,0.3293
129103,1.0000,0.0007,0.0004,0.0000,0.0023,0.0008,0.3292
129437,1.0000,0.0007,0.0003,0.0000,0.0005,0.0022,0.3294
129770,1.0000,0.0007,0.0004,0.0000,0.0022,0.0021,0.3292
130103,1.0000,0.0007,0.0004,0.0000,0.0019,-0.0008,0.3290
130437,1.0000,0.0007,0.0003,0.0000,0.0027,0.0004,0.3295
130770,1.0000,0.0007,0.0003,0.0000,0.0012,0.0019,0.3290
131103,1.0000,0.0007,0.0003,0.0000,0.0009,0.0015,0.3296
131437,1.0000,0.0007,0.0004,0.0000,0.0024,0.0005,0.3292
131770,1.0000,0.0007,0.0004,0.0000,0.0015,-0.0007,0.3292
132103,1.0000,0.0007,0.0003,0.0000,0.0021,0.0019,0.3299
132437,1.0000,0.0007,0.0003,0.0000,0.0006,0.0013,0.3295
132770,1.0000,0.0007,0.0003,0.0001,0.0018,0.0008,0.3295
133103,1.0000,0.0007,0.0004,0.0000,0.0019,-0.0002,0.3297
133437,1.0000,0.0007,0.0004,0.0000,0.0015,0.0009,0.3295
133770,1.0000,0.0007,0.0003,0.0000,0.0023,0.0023,0.3293
134103,1.0000,0.0007,0.0004,0.0000,0.0004,-0.0001,0.3288
134437,1.0000,0.0007,0.0004,0.0000,0.0020,-0.0005,0.3297
134770,1.0000,0.0007,0.0004,0.0000,0.0028,0.0016,0.3288
135103,1.0000,0.0007,0.0003,0.0000,0.0014,0.0018,0.3292
135437,1.0000,0.0007,0.0004,0.0000,0.0006,0.0004,0.3292
135770,1.0000,0.0007,0.0004,0.0000,0.0019,-0.0005,0.3295
136103,1.0000,0.0007,0.0003,0.0000,0.0032,0.0015,0.3297
136437,1.0000,0.0007,0.0004,0.0000,0.0001,0.0016,0.3291
136770,1.0000,0.0007,0.0003,0.0000,0.0012,0.0013,0.3289
137103,1.0000,0.0007,0.0003,0.0000,0.0031,-0.0002,0.3293
137437,1.0000,0.0007,0.0004,0.0000,0.0016,0.0005,0.3290
137770,1.0000,0.0007,0.0004,0.0000,0.0007,0.0014,0.3293
138103,1.0000,0.0007,0.0003,0.0000,0.0010,0.0021,0.3294
138437,1.0000,0.0007,0.0004,0.0000,0.0028,0.0005,0.3296
138770,1.0000,0.0007,0.0004,0.0000,0.0022,-0.0003,0.3292
139103,1.0000,0.0007,0.0004,0.0000,0.0005,0.0008,0.3294
139437,1.0000,0.0007,0.0003,0.0000,0.0011,0.0027,0.3297
139770,1.0000,0.0007,0.0004,0.0000,0.0028,0.0011,0.3294
140103,1.0000,0.0007,0.0003,0.0000,0.0014,-0.0015,0.3294
140437,1.0000,0.0007,0.0004,0.0000,0.0017,0.0008,0.3292
140770,1.0000,0.0007,0.0004,0.0000,0.0019,0.0034,0.3294
141103,1.0000,0.0007,0.0003,0.0000,0.0012,0.0012,0.3286
141437,1.0000,0.0007,0.0003,0.0000,0.0014,-0.0014,0.3294
141770,1.0000,0.0007,0.0004,0.0000,0.0017,0.0002,0.3296
142103,1.0000,0.0007,0.0003,0.0000,0.0021,0.0030,0.3287
142437,1.0000,0.0007,0.0003,0.0000,0.0008,0.0017,0.3291
142770,1.0000,0.0007,0.0004,0.0000,0.0012,-0.0005,0.3293
143104,1.0000,0.0007,0.0003,0.0000,0.0022,-0.0004,0.3288
143437,1.0000,0.0007,0.0003,0.0000,0.0019,0.0024,0.3295
143770,1.0000,0.0007,0.0003,0.0000,0.0011,0.0025,0.3292
144104,1.0000,0.0007,0.0003,0.0000,0.0010,-0.0005,0.3292
144437,1.0000,0.0007,0.0004,0.0000,0.0024,0.0004,0.3292
144770,1.0000,0.0007,0.0003,0.0000,0.0016,0.0013,0.3289
145104,1.0000,0.0007,0.0004,0.0000,0.0012,0.0018,0.3293
145437,1.0000,0.0007,0.0004,0.0000,0.0017,0.0000,0.3293
145770,1.0000,0.0007,0.0004,0.0000,0.0024,0.0006,0.3293
146104,1.0000,0.0007,0.0004,0.0000,0.0012,0.0010,0.3295
146437,1.0000,0.0007,0.0003,0.0001,0.0006,0.0017,0.3294
146770,1.0000,0.0008,0.0004,0.0000,0.0023,0.0011,0.3298
147104,1.0000,0.0008,0.0004,0.0000,0.0021,0.0002,0.3292
147437,1.0000,0.0007,0.0003,0.0000,0.0013,0.0011,0.3288
147770,1.0000,0.0008,0.0004,0.0000,0.0010,0.0013,0.3291
148104,1.0000,0.0007,0.0003,0.0000,0.0018,0.0011,0.3294
148437,1.0000,0.0007,0.0003,0.0000,0.0023,-0.0000,0.3291
148770,1.0000,0.0007,0.0003,0.0000,0.0012,0.0005,0.3290
149104,1.0000,0.0007,0.0003,0.0000,0.0015,0.0018,0.3292
149437,1.0000,0.0007,0.0004,0.0000,0.0019,0.0014,0.3292
149770,1.0000,0.0007,0.0004,0.0000,0.0020,0.0002,0.3287
150104,1.0000,0.0007,0.0003,0.0000,0.0018,0.0002,0.3294
150437,1.0000,0.0007,0.0003,0.0000,0.0015,0.0015,0.3290
150770,1.0000,0.0008,0.0003,0.0000,0.0014,0.0018,0.3288
151104,1.0000,0.0007,0.0003,0.0000,0.0019,0.0003,0.3289
151437,1.0000,0.0007,0.0003,0.0000,0.0019,0.0002,0.3292
151770,1.0000,0.0007,0.0004,0.0000,0.0017,0.0012,0.3291
152104,1.0000,0.0008,0.0003,0.0000,0.0016,0.0017,0.3292
152437,1.0000,0.0007,0.0004,0.0000,0.0017,0.0010,0.3294
152770,1.0000,0.0007,0.0003,0.0000,0.0021,0.0003,0.3291
153104,1.0000,0.0007,0.0004,0.0000,0.0020,0.0007,0.3294
153437,1.0000,0.0007,0.0004,0.0000,0.0017,0.0010,0.3290
153770,1.0000,0.0007,0.0003,0.0000,0.0016,0.0013,0.3290
154104,1.0000,0.0007,0.0004,0.0000,0.0023,0.0007,0.3288
154437,1.0000,0.0007,0.0003,0.0000,0.0022,0.0010,0.3290
154770,1.0000,0.0007,0.0004,0.0000,0.0010,0.0011,0.3292
155104,1.0000,0.0007,0.0003,0.0000,0.0014,0.0008,0.3292
155437,1.0000,0.0007,0.0004,0.0000,0.0021,0.0010,0.3291
155770,1.0000,0.0007,0.0004,0.0000,0.0018,0.0006,0.3286
156104,1.0000,0.0007,0.0004,0.0000,0.0013,0.0011,0.3291
156437,1.0000,0.0007,0.0003,0.0000,0.0015,0.0009,0.3294
156770,1.0000,0.0007,0.0003,0.0000,0.0019,0.0008,0.3290
157104,1.0000,0.0007,0.0003,0.0000,0.0019,0.0011,0.3283
157437,1.0000,0.0007,0.0004,0.0000,0.0013,0.0006,0.3288
157770,1.0000,0.0007,0.0003,0.0000,0.0019,0.0009,0.3292
158104,1.0000,0.0007,0.0003,0.0000,0.0016,0.0006,0.3291
158437,1.0000,0.0007,0.0004,0.0000,0.0019,0.0009,0.3294
158770,1.0000,0.0007,0.0003,0.0000,0.0014,0.0016,0.3296
159104,1.0000,0.0007,0.0003,0.0000,0.0020,0.0014,0.3295
159437,1.0000,0.0007,0.0003,0.0001,0.0017,0.0004,0.3290
159771,1.0000,0.0007,0.0004,0.0000,0.0012,0.0002,0.3292
160104,1.0000,0.0007,0.0004,0.0000,0.0020,0.0011,0.3296
160437,1.0000,0.0007,0.0004,0.0001,0.0023,0.0018,0.3288
160771,1.0000,0.0007,0.0003,0.0000,0.0006,0.0011,0.3295
161104,1.0000,0.0007,0.0004,0.0000,0.0016,0.0004,0.3293
161437,1.0000,0.0007,0.0003,0.0000,0.0021,0.0009,0.3296
161771,1.0000,0.0007,0.0003,0.0000,0.0019,0.0014,0.3289
162104,1.0000,0.0007,0.0004,0.0000,0.0016,0.0011,0.3294
162437,1.0000,0.0007,0.0003,0.0000,0.0017,0.0011,0.3293
162771,1.0000,0.0007,0.0004,0.0000,0.0022,0.0006,0.3292
163104,1.0000,0.0007,0.0004,0.0000,0.0011,0.0002,0.3293
163437,1.0000,0.0007,0.0004,0.0000,0.0015,0.0010,0.3294
163771,1.0000,0.0007,0.0004,0.0000,0.0022,0.0013,0.3294
164104,1.0000,0.0007,0.0004,0.0000,0.0026,0.0012,0.3291
164437,1.0000,0.0007,0.0003,0.0000,0.0008,0.0004,0.3289
164771,1.0000,0.0007,0.0004,0.0000,0.0018,0.0009,0.3294
165104,1.0000,0.0007,0.0004,0.0000,0.0023,0.0014,0.3290
165437,1.0000,0.0007,0.0004,0.0000,0.0015,0.0004,0.3294
165771,1.0000,0.0007,0.0003,0.0000,0.0015,0.0007,0.3291
166104,1.0000,0.0007,0.0003,0.0000,0.0016,0.0006,0.3291
166437,1.0000,0.0007,0.0003,0.0000,0.0020,0.0010,0.3288
166771,1.0000,0.0007,0.0004,0.0000,0.0016,0.0004,0.3298
167104,1.0000,0.0007,0.0004,0.0000,0.0019,0.0013,0.3296
167437,1.0000,0.0007,0.0003,0.0000,0.0019,0.0014,0.3289
167771,1.0000,0.0007,0.0003,0.0000,0.0012,0.0007,0.3290
168104,1.0000,0.0007,0.0004,0.0000,0.0017,0.0006,0.3293
168437,1.0000,0.0007,0.0003,0.0000,0.0022,0.0001,0.3291
168771,1.0000,0.0007,0.0004,0.0000,0.0028,0.0018,0.3297
169104,1.0000,0.0007,0.0003,0.0000,0.0009,0.0011,0.3291
169437,1.0000,0.0007,0.0003,0.0000,0.0004,0.0005,0.3293
169771,1.0000,0.0007,0.0003,0.0000,0.0030,0.0006,0.3292
170104,1.0000,0.0007,0.0003,0.0000,0.0025,0.0008,0.3293
170437,1.0000,0.0007,0.0004,0.0000,0.0013,0.0014,0.3286
170771,1.0000,0.0007,0.0003,0.0000,0.0013,0.0009,0.3289
171104,1.0000,0.0007,0.0004,0.0000,0.0028,0.0007,0.3289
171437,1.0000,0.0007,0.0004,0.0000,0.0006,-0.0000,0.3290
171771,1.0000,0.0007,0.0004,0.0000,0.0009,0.0004,0.3288
172104,1.0000,0.0007,0.0003,0.0000,0.0032,0.0027,0.3290
172437,1.0000,0.0007,0.0004,0.0000,0.0019,0.0015,0.3292
172771,1.0000,0.0007,0.0003,0.0001,-0.0007,-0.0017,0.3291
173104,1.0000,0.0007,0.0004,0.0000,0.0033,0.0011,0.3295
173437,1.0000,0.0007,0.0004,0.0000,0.0045,0.0018,0.3289
173771,1.0000,0.0007,0.0003,0.0000,0.0003,0.0022,0.3292
174104,1.0000,0.0007,0.0003,0.0000,-0.0022,-0.0013,0.3290
174437,1.0000,0.0007,0.0003,0.0000,0.0054,0.0019,0.3295
174771,1.0000,0.0007,0.0003,0.0000,0.0029,0.0015,0.3293
175104,1.0000,0.0007,0.0003,0.0000,-0.0022,0.0004,0.3291
175437,1.0000,0.0007,0.0003,0.0000,0.0016,0.0013,0.3292
175771,1.0000,0.0007,0.0003,0.0000,0.0037,0.0002,0.3292
176104,1.0000,0.0007,0.0004,0.0000,0.0024,0.0016,0.3290
176438,1.0000,0.0007,0.0003,0.0000,-0.0022,-0.0002,0.3289
176771,1.0000,0.0007,0.0004,0.0000,0.0036,0.0021,0.3290
177104,1.0000,0.0007,0.0003,0.0000,0.0042,0.0011,0.3287
177438,1.0000,0.0007,0.0003,0.0001,-0.0013,-0.0008,0.3293
177771,1.0000,0.0007,0.0003,0.0000,0.0013,0.0016,0.3294
178104,1.0000,0.0007,0.0003,0.0000,0.0037,0.0016,0.3291
178438,1.0000,0.0007,0.0003,0.0001,0.0033,0.0013,0.3291
178771,1.0000,0.0007,0.0003,0.0000,-0.0014,-0.0013,0.3295
179104,1.0000,0.0008,0.0003,0.0000,0.0020,0.0016,0.3291
179438,1.0000,0.0008,0.0004,0.0001,0.0057,0.0012,0.3292
179771,1.0000,0.0007,0.0004,0.0000,0.0006,0.0026,0.3292
180104,1.0000,0.0007,0.0004,0.0000,-0.0032,-0.0004,0.3294
180438,1.0000,0.0007,0.0003,0.0001,0.0061,0.0021,0.3288
180771,1.0000,0.0007,0.0003,0.0000,0.0015,-0.0013,0.3291
181104,1.0000,0.0007,0.0004,0.0001,-0.0014,0.0012,0.3291
181438,1.0000,0.0008,0.0004,-0.0000,0.0055,0.0029,0.3287
181771,1.0000,0.0007,0.0003,0.0001,0.0002,-0.0034,0.3299
182104,1.0000,0.0007,0.0003,0.0001,0.0014,0.0027,0.3293
182438,1.0000,0.0007,0.0003,-0.0000,-0.0007,0.0027,0.3289
182771,1.0000,0.0007,0.0003,0.0001,0.0050,0.0032,0.3287
183104,1.0000,0.0007,0.0003,-0.0000,0.0020,-0.0029,0.3296
183438,1.0000,0.0007,0.0004,0.0001,-0.0012,-0.0026,0.3294
183771,1.0000,0.0007,0.0004,0.0000,0.0035,0.0053,0.3289
184104,1.0000,0.0007,0.0003,0.0000,0.0011,0.0024,0.3295
184438,1.0000,0.0007,0.0004,0.0001,0.0017,0.0003,0.3295
184771,1.0000,0.0007,0.0003,0.0000,0.0007,-0.0021,0.3295
185104,1.0000,0.0007,0.0004,0.0001,0.0026,0.0014,0.3291
185438,1.0000,0.0007,0.0003,0.0000,0.0030,0.0036,0.3291
185771,1.0000,0.0007,0.0004,0.0001,-0.0004,-0.0009,0.3293
186104,1.0000,0.0007,0.0003,0.0000,0.0026,0.0001,0.3296
186438,1.0000,0.0007,0.0003,0.0000,0.0016,0.0008,0.3295
186771,1.0000,0.0007,0.0003,0.0001,0.0013,0.0024,0.3292
187104,1.0000,0.0007,0.0004,0.0000,0.0010,0.0004,0.3289
187438,1.0000,0.0007,0.0004,0.0001,0.0020,-0.0001,0.3288
187771,1.0000,0.0007,0.0003,0.0000,0.0031,0.0014,0.3290
188104,1.0000,0.0007,0.0003,0.0001,0.0000,0.0008,0.3292
188438,1.0000,0.0007,0.0003,0.0000,0.0013,0.0016,0.3290
188771,1.0000,0.0007,0.0004,0.0000,0.0018,0.0000,0.3292
189104,1.0000,0.0008,0.0003,0.0001,0.0016,0.0007,0.3290
189438,1.0000,0.0007,0.0003,0.0000,0.0015,0.0011,0.3293
189771,1.0000,0.0008,0.0003,0.0000,0.0012,0.0017,0.3291
190104,1.0000,0.0007,0.0004,0.0000,0.0021,0.0008,0.3290
190438,1.0000,0.0007,0.0003,0.0000,0.0015,0.0003,0.3293
190771,1.0000,0.0007,0.0003,0.0000,0.0014,0.0017,0.3291
191104,1.0000,0.0007,0.0003,0.0000,0.0016,0.0015,0.3290
191438,1.0000,0.0007,0.0004,0.0000,0.0013,0.0000,0.3297
191771,1.0000,0.0007,0.0003,0.0001,0.0023,0.0002,0.3292
192104,1.0000,0.0007,0.0004,0.0000,0.0022,0.0016,0.3292
192438,1.0000,0.0007,0.0004,0.0001,0.0004,0.0014,0.3295
192771,1.0000,0.0007,0.0003,0.0000,0.0016,0.0009,0.3293
193105,1.0000,0.0007,0.0003,0.0000,0.0023,-0.0005,0.3289
193438,1.0000,0.0007,0.0003,0.0000,0.0014,0.0012,0.3294
193771,1.0000,0.0007,0.0003,0.0000,0.0007,0.0015,0.3283
194105,1.0000,0.0007,0.0003,0.0000,0.0018,0.0013,0.3293
194438,1.0000,0.0007,0.0004,0.0000,0.0026,-0.0005,0.3290
194771,1.0000,0.0007,0.0004,0.0000,0.0011,0.0005,0.3291
195105,1.0000,0.0007,0.0004,0.0000,0.0020,0.0024,0.3291
195438,1.0000,0.0007,0.0004,0.0000,0.0013,0.0017,0.3289
195771,1.0000,0.0007,0.0004,0.0000,0.0016,0.0003,0.3291
196105,1.0000,0.0007,0.0003,0.0000,0.0019,-0.0003,0.3292
196438,1.0000,0.0007,0.0004,0.0000,0.0013,0.0017,0.3296
196771,1.0000,0.0007,0.0004,0.0000,0.0013,0.0017,0.3296
197105,1.0000,0.0007,0.0003,0.0000,0.0013,0.0006,0.3295
197438,1.0000,0.0008,0.0003,0.0000,0.0018,0.0004,0.3295
197771,1.0000,0.0007,0.0003,0.0000,0.0018,0.0012,0.3291
198105,1.0000,0.0007,0.0003,0.0000,0.0017,0.0015,0.3294
198438,1.0000,0.0007,0.0003,0.0000,0.0010,0.0007,0.3292
198771,1.0000,0.0007,0.0004,0.0000,0.0015,-0.0000,0.3294
199105,1.0000,0.0007,0.0003,0.0000,0.0019,0.0012,0.3292
199438,1.0000,0.0007,0.0003,0.0000,0.0019,0.0012,0.3293
199771,1.0000,0.0007,0.0004,0.0000,0.0015,0.0008,0.3291
200105,1.0000,0.0007,0.0003,0.0000,0.0017,0.0005,0.3290
200438,1.0000,0.0007,0.0003,0.0000,0.0019,0.0007,0.3294
200771,1.0000,0.0007,0.0003,0.0000,0.0021,0.0012,0.3292
201105,1.0000,0.0007,0.0004,0.0000,0.0016,0.0008,0.3293
201438,1.0000,0.0007,0.0003,0.0000,0.0020,0.0007,0.3288
201771,1.0000,0.0007,0.0004,0.0000,0.0016,0.0013,0.3298
202105,1.0000,0.0007,0.0004,0.0000,0.0018,0.0011,0.3292
202438,1.0000,0.0007,0.0003,0.0000,0.0019,0.0010,0.3292
202771,1.0000,0.0007,0.0003,0.0000,0.0016,0.0008,0.3295
203105,1.0000,0.0007,0.0003,0.0000,0.0021,0.0011,0.3296
203438,1.0000,0.0007,0.0004,0.0000,0.0015,0.0010,0.3296
203771,1.0000,0.0007,0.0003,0.0000,0.0018,0.0011,0.3294
204105,1.0000,0.0007,0.0004,0.0000,0.0021,0.0007,0.3289
204438,1.0000,0.0007,0.0004,0.0000,0.0017,0.0008,0.3297
204771,1.0000,0.0007,0.0003,0.0000,0.0019,0.0012,0.3291
205105,1.0000,0.0007,0.0003,0.0000,0.0016,0.0009,0.3291
205438,1.0000,0.0007,0.0003,0.0000,0.0017,0.0008,0.3295
205771,1.0000,0.0007,0.0003,0.0000,0.0020,0.0007,0.3292
206105,1.0000,0.0007,0.0003,0.0000,0.0016,0.0004,0.3294
206438,1.0000,0.0007,0.0003,0.0000,0.0016,0.0015,0.3294
206771,1.0000,0.0007,0.0003,0.0000,0.0014,0.0011,0.3287
207105,1.0000,0.0007,0.0004,0.0000,0.0018,0.0004,0.3291
207438,1.0000,0.0007,0.0003,0.0000,0.0022,0.0003,0.3296
207771,1.0000,0.0007,0.0004,0.0000,0.0016,0.0009,0.3292
208105,1.0000,0.0007,0.0003,0.0000,0.0011,0.0018,0.3288
208438,1.0000,0.0007,0.0004,0.0000,0.0016,0.0013,0.3293
208771,1.0000,0.0007,0.0004,0.0000,0.0022,0.0006,0.3288
209105,1.0000,0.0007,0.0004,0.0000,0.0019,0.0007,0.3293
209438,1.0000,0.0007,0.0004,0.0000,0.0015,0.0013,0.3296
209772,1.0000,0.0007,0.0004,0.0000,0.0014,0.0012,0.3291
210105,1.0000,0.0007,0.0003,0.0000,0.0016,0.0008,0.3293
210438,1.0000,0.0007,0.0004,0.0000,0.0018,0.0011,0.3297
210772,1.0000,0.0007,0.0003,0.0000,0.0015,0.0011,0.3290
211105,1.0000,0.0007,0.0003,0.0000,0.0019,0.0012,0.3296
